# time  ID  size  fromHost  toHost  TTL  isResponse
1.0000 M1 500000 t46 p32 240 N 
2.0000 M2 500000 p9 p32 240 N 
3.0000 M3 500000 t74 p16 240 N 
4.0000 M4 500000 t52 p37 240 N 
5.0000 M5 500000 p3 p21 240 N 
6.0000 M6 500000 p9 p36 240 N 
7.0000 M7 500000 t41 t40 240 N 
8.0000 M8 500000 t52 t48 240 N 
9.0000 M9 500000 t58 p38 240 N 
10.0000 M10 500000 t73 t49 240 N 
11.0000 M11 500000 t60 p28 240 N 
12.0000 M12 500000 t47 t62 240 N 
13.0000 M13 500000 t77 p16 240 N 
14.0000 M14 500000 p4 t40 240 N 
15.0000 M15 500000 p25 p35 240 N 
16.0000 M16 500000 p36 p27 240 N 
17.0000 M17 500000 t58 p25 240 N 
18.0000 M18 500000 p14 p15 240 N 
19.0000 M19 500000 t61 t62 240 N 
20.0000 M20 500000 t58 t53 240 N 
21.0000 M21 500000 p13 p7 240 N 
22.0000 M22 500000 t65 t59 240 N 
23.0000 M23 500000 t41 p30 240 N 
24.0000 M24 500000 t67 p18 240 N 
25.0000 M25 500000 t63 t73 240 N 
26.0000 M26 500000 t51 t40 240 N 
27.0000 M27 500000 p11 p34 240 N 
28.0000 M28 500000 t64 p5 240 N 
29.0000 M29 500000 t57 p7 240 N 
30.0000 M30 500000 t63 p39 240 N 
31.0000 M31 500000 p8 p1 240 N 
32.0000 M32 500000 p0 p5 240 N 
33.0000 M33 500000 t56 t66 240 N 
34.0000 M34 500000 t41 t74 240 N 
35.0000 M35 500000 t64 p15 240 N 
36.0000 M36 500000 p7 p14 240 N 
37.0000 M37 500000 p39 t77 240 N 
38.0000 M38 500000 t64 t74 240 N 
39.0000 M39 500000 p31 p19 240 N 
40.0000 M40 500000 t47 t63 240 N 
41.0000 M41 500000 t52 t50 240 N 
42.0000 M42 500000 t46 p9 240 N 
43.0000 M43 500000 t66 p1 240 N 
44.0000 M44 500000 p3 p38 240 N 
45.0000 M45 500000 p18 p36 240 N 
46.0000 M46 500000 p12 p35 240 N 
47.0000 M47 500000 t57 p9 240 N 
48.0000 M48 500000 t65 t69 240 N 
49.0000 M49 500000 t69 p9 240 N 
50.0000 M50 500000 p10 p32 240 N 
51.0000 M51 500000 t66 p5 240 N 
52.0000 M52 500000 p4 t71 240 N 
53.0000 M53 500000 p14 p10 240 N 
54.0000 M54 500000 t63 t44 240 N 
55.0000 M55 500000 p4 p11 240 N 
56.0000 M56 500000 t77 p4 240 N 
57.0000 M57 500000 p0 t44 240 N 
58.0000 M58 500000 t50 t53 240 N 
59.0000 M59 500000 p16 t71 240 N 
60.0000 M60 500000 p16 t73 240 N 
61.0000 M61 500000 t59 t60 240 N 
62.0000 M62 500000 p22 p35 240 N 
63.0000 M63 500000 p21 t57 240 N 
64.0000 M64 500000 t45 p11 240 N 
65.0000 M65 500000 p35 t68 240 N 
66.0000 M66 500000 t43 p3 240 N 
67.0000 M67 500000 t68 p16 240 N 
68.0000 M68 500000 t78 p33 240 N 
69.0000 M69 500000 p20 t77 240 N 
70.0000 M70 500000 p19 t71 240 N 
71.0000 M71 500000 t60 p16 240 N 
72.0000 M72 500000 t49 t56 240 N 
73.0000 M73 500000 t44 p32 240 N 
74.0000 M74 500000 t67 p15 240 N 
75.0000 M75 500000 t53 p12 240 N 
76.0000 M76 500000 p34 t43 240 N 
77.0000 M77 500000 t76 t50 240 N 
78.0000 M78 500000 p0 p29 240 N 
79.0000 M79 500000 t66 p28 240 N 
80.0000 M80 500000 p8 t67 240 N 
81.0000 M81 500000 t56 t73 240 N 
82.0000 M82 500000 p33 p36 240 N 
83.0000 M83 500000 t43 t72 240 N 
84.0000 M84 500000 p27 p24 240 N 
85.0000 M85 500000 p10 t58 240 N 
86.0000 M86 500000 p19 p35 240 N 
87.0000 M87 500000 t47 t41 240 N 
88.0000 M88 500000 p39 t77 240 N 
89.0000 M89 500000 t78 p23 240 N 
90.0000 M90 500000 t42 p2 240 N 
91.0000 M91 500000 p10 p39 240 N 
92.0000 M92 500000 t69 p5 240 N 
93.0000 M93 500000 p6 p12 240 N 
94.0000 M94 500000 p24 t48 240 N 
95.0000 M95 500000 p26 p32 240 N 
96.0000 M96 500000 p3 t78 240 N 
97.0000 M97 500000 t65 t75 240 N 
