# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
14.1000 M14 500000 1 0.1000 p4 t40 239 N p4->t40
35.1000 M35 500000 1 0.1000 t64 p15 239 N t64->p15
245.3000 M55 500000 2 190.3000 p4 p11 236 N p4->t62->p11
255.1000 M255 500000 1 0.1000 p15 t64 239 N p15->t64
300.9000 M288 500000 1 12.9000 t66 t48 239 N t66->t48
301.0000 M129 500000 2 172.0000 t44 t48 237 N t44->t66->t48
369.3000 M25 500000 1 344.3000 t63 t73 234 N t63->t73
411.6000 M327 500000 1 84.6000 p11 p25 238 N p11->p25
416.9000 M61 500000 1 355.9000 t59 t60 234 N t59->t60
452.0000 M47 500000 3 405.0000 t57 p9 233 N t57->p13->t70->p9
498.1000 M498 500000 1 0.1000 p38 p19 239 N p38->p19
631.4000 M269 500000 1 362.4000 t43 p6 233 N t43->p6
631.5000 M121 500000 1 510.5000 p6 t43 231 N p6->t43
647.4000 M407 500000 1 240.4000 t46 t58 235 N t46->t58
657.1000 M657 500000 1 0.1000 t69 t73 239 N t69->t73
657.6000 M96 500000 4 561.6000 p3 t78 230 N p3->p36->t72->t60->t78
657.9000 M94 500000 1 563.9000 p24 t48 230 N p24->t48
681.0000 M228 500000 3 453.0000 t60 t62 232 N t60->t72->p36->t62
681.1000 M346 500000 2 335.1000 t72 t62 234 N t72->p36->t62
689.1000 M673 500000 1 16.1000 t43 p28 239 N t43->p28
744.0000 M177 500000 2 567.0000 p31 t55 230 N p31->t48->t55
756.5000 M51 500000 3 705.5000 t66 p5 228 N t66->t44->t75->p5
774.0000 M365 500000 3 409.0000 t65 p23 233 N t65->p12->t42->p23
774.1000 M720 500000 2 54.1000 p12 p23 239 N p12->t42->p23
785.4000 M785 500000 1 0.4000 p23 t42 239 N p23->t42
785.5000 M316 500000 4 469.5000 t60 t77 232 N t60->t72->p36->t62->t77
821.1000 M821 500000 1 0.1000 t42 p12 239 N t42->p12
826.4000 M142 500000 2 684.4000 t47 p31 228 N t47->p38->p31
833.8000 M242 500000 2 591.8000 t48 p19 230 N t48->p31->p19
833.9000 M39 500000 1 794.9000 p31 p19 226 N p31->p19
836.2000 M609 500000 1 227.2000 t77 t78 236 N t77->t78
836.4000 M74 500000 3 762.4000 t67 p15 227 N t67->p7->p22->p15
846.5000 M477 500000 2 369.5000 p28 p32 233 N p28->p3->p32
846.6000 M546 500000 2 300.6000 p1 p32 234 N p1->p3->p32
848.0000 M493 500000 2 355.0000 t58 t70 234 N t58->t76->t70
848.1000 M360 500000 2 488.1000 t71 t70 231 N t71->t76->t70
851.3000 M413 500000 1 438.3000 t45 t50 232 N t45->t50
851.5000 M763 500000 2 88.5000 t70 t46 238 N t70->t76->t46
894.3000 M240 500000 4 654.3000 p13 t44 229 N p13->t70->p9->p12->t44
896.9000 M332 500000 4 564.9000 t62 t57 230 N t62->t58->t76->t70->t57
897.0000 M232 500000 3 665.0000 t71 t57 228 N t71->t76->t70->t57
913.4000 M168 500000 6 745.4000 t46 t42 227 N t46->t62->p11->p25->t44->p12->t42
930.2000 M930 500000 1 0.2000 t40 t61 239 N t40->t61
934.3000 M274 500000 2 660.3000 t59 p8 228 N t59->t60->p8
935.7000 M107 500000 3 828.7000 p4 p23 226 N p4->t62->p11->p23
938.3000 M52 500000 4 886.3000 p4 t71 225 N p4->t62->t77->t78->t71
952.1000 M286 500000 1 666.1000 t76 t48 228 N t76->t48
964.5000 M336 500000 5 628.5000 t75 t70 229 N t75->t44->p25->t48->t76->t70
965.8000 M11 500000 2 954.8000 t60 p28 224 N t60->t59->p28
965.9000 M686 500000 2 279.9000 t43 t59 235 N t43->p28->t59
966.5000 M100 500000 4 866.5000 t65 t70 225 N t65->p31->t48->t76->t70
966.9000 M2 500000 1 964.9000 p9 p32 223 N p9->p32
969.3000 M368 500000 3 601.3000 p11 t70 229 N p11->p25->t48->t70
976.0000 M795 500000 2 181.0000 t46 p6 236 N t46->t58->p6
996.4000 M393 500000 2 603.4000 p22 p20 229 N p22->p15->p20
1007.6000 M147 500000 4 860.6000 t58 p13 225 N t58->t62->t77->t78->p13
1008.0000 M169 500000 3 839.0000 t71 t72 226 N t71->p3->p1->t72
1008.1000 M919 500000 1 89.1000 t72 p1 238 N t72->p1
1014.3000 M521 500000 2 493.3000 p6 p39 231 N p6->t43->p39
1014.4000 M953 500000 1 61.4000 p39 t43 238 N p39->t43
1026.4000 M227 500000 4 799.4000 p23 t64 226 N p23->t42->p12->t44->t64
1029.7000 M6 500000 2 1023.7000 p9 p36 222 N p9->t70->p36
1039.2000 M1039 500000 1 0.2000 p39 t43 239 N p39->t43
1040.0000 M765 500000 2 275.0000 p17 t54 235 N p17->t43->t54
1071.4000 M128 500000 5 943.4000 t44 t51 224 N t44->t66->t48->p31->p38->t51
1071.5000 M781 500000 1 290.5000 t51 p38 235 N t51->p38
1072.4000 M762 500000 2 310.4000 t51 p19 234 N t51->p38->p19
1106.5000 M183 500000 2 923.5000 t57 p18 224 N t57->p13->p18
1106.6000 M1086 500000 1 20.6000 p13 p18 239 N p13->p18
1119.9000 M289 500000 2 830.9000 t72 p11 226 N t72->p1->p11
1120.0000 M688 500000 1 432.0000 p1 p11 232 N p1->p11
1120.1000 M144 500000 3 976.1000 t44 p1 223 N t44->p25->p11->p1
1120.2000 M303 500000 6 817.2000 t42 p1 226 N t42->p9->p12->t65->p23->p11->p1
1120.4000 M43 500000 4 1077.4000 t66 p1 222 N t66->t44->p25->p11->p1
1147.1000 M713 500000 4 434.1000 p23 t67 232 N p23->t42->t65->p12->t67
1147.3000 M290 500000 1 857.3000 p12 t67 225 N p12->t67
1147.4000 M631 500000 2 516.4000 p9 t67 231 N p9->p12->t67
1147.5000 M450 500000 1 697.5000 p12 t67 228 N p12->t67
1151.6000 M650 500000 1 501.6000 t73 t77 231 N t73->t77
1151.8000 M376 500000 2 775.8000 p8 t73 227 N p8->t77->t73
1152.0000 M682 500000 1 470.0000 t73 t77 232 N t73->t77
